dim,vcycle_converged_with_allocation,vcycle_time_with_allocation,vcycle_iterations_with_allocation,wcycle_converged_with_allocation,wcycle_time_with_allocation,wcycle_iterations_with_allocation,standard_converged_with_allocation,standard_time_with_allocation,standard_iterations_with_allocation,vcycle_converged_no_allocation,vcycle_time_no_allocation,vcycle_iterations_no_allocation,wcycle_converged_no_allocation,wcycle_time_no_allocation,wcycle_iterations_no_allocation,standard_converged_no_allocation,standard_time_no_allocation,standard_iterations_no_allocation,vcycle_wu,wcycle_wu,standard_wu
373,,,,,,,1,23.894032955169678,108600,,,,,,,1,22.853241443634033,108600,,,108601.0
485,,,,,,,1,63.98621487617493,183600,,,,,,,1,62.502570390701294,183600,,,183601.0
630,,,,,,,1,179.7617199420929,310000,,,,,,,1,177.37643909454346,310000,,,310001.0
16,1,1.400916337966919,16,1,1.9267418384552002,15,,,,1,0.30060505867004395,16,1,0.5867810249328613,15,,,,135.46875,180.0,
32,1,1.932429313659668,23,1,2.6083662509918213,17,,,,1,0.43831944465637207,23,1,0.9871437549591064,17,,,,191.8125,209.25,
64,1,2.3527681827545166,26,1,3.468855857849121,14,,,,1,0.5798044204711914,26,1,1.4605343341827393,14,,,,215.947265625,177.1875,
128,1,2.9796535968780518,27,1,4.67937707901001,14,,,,1,0.7164225578308105,27,1,2.3479950428009033,14,,,,223.986328125,178.59375,
256,1,3.876307725906372,27,1,7.301037311553955,13,,,,1,0.8936147689819336,27,1,3.951901435852051,13,,,,223.99658203125,167.34375,
512,1,5.179539680480957,27,1,11.270368337631226,12,,,,1,1.1438319683074951,27,1,6.482389211654663,12,,,,223.9991455078125,155.6953125,
1024,1,10.649466514587402,27,1,21.110724925994873,11,,,,1,1.929870843887329,27,1,11.884488105773926,11,,,,223.99978637695312,143.859375,
2048,1,30.8048038482666,28,1,48.13811945915222,10,,,,1,4.999673366546631,28,1,21.516197443008423,10,,,,231.99994468688965,131.935546875,
16,,,,,,,1,0.29474711418151855,200,,,,,,,1,0.037899017333984375,200,,,201.0
21,,,,,,,1,0.30612921714782715,300,,,,,,,1,0.04317283630371094,300,,,301.0
27,,,,,,,1,0.2158203125,400,,,,,,,1,0.046817779541015625,400,,,401.0
35,,,,,,,1,0.33425021171569824,800,,,,,,,1,0.06616520881652832,800,,,801.0
46,,,,,,,1,0.37535929679870605,1600,,,,,,,1,0.10216736793518066,1600,,,1601.0
60,,,,,,,1,0.4388108253479004,2800,,,,,,,1,0.15761160850524902,2800,,,2801.0
78,,,,,,,1,0.42949819564819336,4600,,,,,,,1,0.23608016967773438,4600,,,4601.0
101,,,,,,,1,0.6042323112487793,7800,,,,,,,1,0.3871774673461914,7800,,,7801.0
131,,,,,,,1,0.8964211940765381,13400,,,,,,,1,0.6315624713897705,13400,,,13401.0
170,,,,,,,1,1.6847255229949951,22400,,,,,,,1,1.2491278648376465,22400,,,22401.0
221,,,,,,,1,3.628068685531616,38000,,,,,,,1,3.0928187370300293,38000,,,38001.0
287,,,,,,,1,8.503152847290039,64200,,,,,,,1,7.760210990905762,64200,,,64201.0
373,,,,,,,1,23.870100021362305,108600,,,,,,,1,22.847843647003174,108600,,,108601.0
485,,,,,,,1,64.05722713470459,183600,,,,,,,1,62.510624170303345,183600,,,183601.0
630,,,,,,,1,179.94138741493225,310000,,,,,,,1,177.38912320137024,310000,,,310001.0
16,1,1.460386037826538,16,1,1.9890499114990234,15,,,,1,0.31541895866394043,16,1,0.5669543743133545,15,,,,135.46875,180.0,
32,1,1.9400691986083984,23,1,2.6070785522460938,17,,,,1,0.43316006660461426,23,1,0.9419867992401123,17,,,,191.8125,209.25,
64,1,2.3578569889068604,26,1,3.4171524047851562,14,,,,1,0.5749869346618652,26,1,1.4947443008422852,14,,,,215.947265625,177.1875,
128,1,3.004197120666504,27,1,4.821622610092163,14,,,,1,0.7206714153289795,27,1,2.415081024169922,14,,,,223.986328125,178.59375,
